A,B,C,D,E,F,G,H,I,J,K,L
Item,Referencia,Desc. item,Fecha activacion,U.M.,Moneda ,Precio,Precio mínimo,Precio máximo,Precio sugerido/combo,Dscto/promoc,Desc. pscto/promoc
LP1,,,,,,,,,,,
28,TONELADAROL23                                     ,TONELADA ROLO 2,3,45653,TON ,COP,300000,0,0,0,0,
30,TONELADAPULPA                                     ,TONELADA PULPA,45694,TON ,COP,175756,0,0,0,0,
674,C3ZOC0801100                                      ,ZOCALO 8X1X100                          ,45292,UND ,COP,1311,0,0,0,0,
675,C3ZOC0801150                                      ,ZOCALO 8X1X150                          ,45292,UND ,COP,1966,0,0,0,0,
676,C3ZOC0801200                                      ,ZOCALO 8X1X200                          ,45292,UND ,COP,2621,0,0,0,0,
677,C3ZOC0801250                                      ,ZOCALO 8X1X250                          ,45292,UND ,COP,3276,0,0,0,0,
678,C3ZOC0801300                                      ,ZOCALO 8X1X300                          ,45292,UND ,COP,4013,0,0,0,0,
680,C3GES1001100                                      ,GUARDA ESCOBA 10X1X100                  ,45292,UND ,COP,1638,0,0,0,0,
681,C3GES1001150                                      ,GUARDA ESCOBA 10X1X150                  ,45292,UND ,COP,2457,0,0,0,0,
682,C3GES1001200                                      ,GUARDA ESCOBA 10X1X200                  ,45292,UND ,COP,3276,0,0,0,0,
683,C3GES1001250                                      ,GUARDA ESCOBA 10X1X250                  ,45292,UND ,COP,4094,0,0,0,0,
684,C3GES1001300                                      ,GUARDA ESCOBA 10X1X300                  ,45292,UND ,COP,5017,0,0,0,0,
686,C3PER1003100                                      ,PERFIL 10X3X100                         ,45292,M2  ,COP,49122,0,0,0,0,
687,C3PER1003150                                      ,PERFIL 10X3X150                         ,45292,M2  ,COP,49122,0,0,0,0,
688,C3PER1003200                                      ,PERFIL 10X3X200                         ,45292,M2  ,COP,49122,0,0,0,0,
689,C3PER1003250                                      ,PERFIL 10X3X250                         ,45292,M2  ,COP,49122,0,0,0,0,
690,C3PER1003300                                      ,PERFIL 10X3X300                         ,45292,M2  ,COP,50156,0,0,0,0,
692,C3PYP1017100                                      ,PISO PARED 10X1.7X100M2 CEP,45292,M2  ,COP,23800,0,0,0,0,
693,C3PYP1017150                                      ,PISO PARED 10X1.7X150M2 CEP,45292,M2  ,COP,25245,0,0,0,0,
694,C3PYP1017200                                      ,PISO PARED 10X1.7X200M2 CEP,45292,M2  ,COP,29750,0,0,0,0,
695,C3PYP1017250                                      ,PISO PARED 10X1.7X250M2 CEP,45292,M2  ,COP,33150,0,0,0,0,
696,C3PYP1017300                                      ,PISO PARED 10X1.7X300M2 CEP,45292,M2  ,COP,33150,0,0,0,0,
698,C3BOT1017100                                      ,BOTAGUA 10X1.7X100M2                    ,45292,M2  ,COP,23800,0,0,0,0,
699,C3BOT1017150                                      ,BOTAGUA 10X1.7X150M2                    ,45292,M2  ,COP,25245,0,0,0,0,
700,C3BOT1017200                                      ,BOTAGUA 10X1.7X200M2                    ,45292,M2  ,COP,29750,0,0,0,0,
701,C3BOT1017250                                      ,BOTAGUA 10X1.7X250M2                    ,45292,M2  ,COP,33150,0,0,0,0,
702,C3BOT1017300                                      ,BOTAGUA 10X1.7X300M2                    ,45292,M2  ,COP,33150,0,0,0,0,
710,C3COL1010100                                      ,COLUMNA 10X10X100                       ,45292,UND ,COP,14000,0,0,0,0,
711,C3COL1010150                                      ,COLUMNA 10X10X150                       ,45292,UND ,COP,22500,0,0,0,0,
712,C3COL1010200                                      ,COLUMNA 10X10X200                       ,45292,UND ,COP,35000,0,0,0,0,
713,C3COL1010250                                      ,COLUMNA 10X10X250                       ,45292,UND ,COP,48750,0,0,0,0,
714,C3COL1010300                                      ,COLUMNA 10X10X300                       ,45292,UND ,COP,58500,0,0,0,0,
720,C3COL1414300                                      ,COLUMNA 14X14X300                       ,45292,UND ,COP,98304,0,0,0,0,
722,C3DEK1425100                                      ,TABLA DECK 14X2.5X100                   ,45292,UND ,COP,5732,0,0,0,0,
723,C3DEK1425150                                      ,TABLA DECK 14X2.5X150                   ,45292,UND ,COP,7875,0,0,0,0,
